"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"a","18.00","22.27","68.00","none","1.70M","1.26M","-52.4%","-36.2%","10.3B","460.6M","368.5M","none","none","none","11.91","0.76","-0.47","21.87","2.17","1.87","29.23","1.02","10.1B","1.01B","355.0M","3.5%","3.3%","Oct 31","none","4.12%","6.62%","1.66","0.14","999.0M","5.55M","1.5%","6.61M","3.03","1.83M","22.90","27.27","19.08","5.11","25260990.00","13.98"
"aa","25.875","32.27","45.71","1.17","3.42M","2.83M","+11.0%","+48.9%","27.4B","849.3M","738.9M","0.60","1.86%","none","12.67","1.65","0.39","28.05","0.57","2.55","19.52","1.15","24.4B","4.25B","1.44B","7.1%","10.4%","Dec 31","none","5.76%","13.07%","1.50","0.59","484.0M","9.96M","1.3%","9.51M","3.30","3.02M","","38.60","0.00","5.11","0.00","-5.11"
"aaab","8.00","19.50","23.05","0.26","6,273","6,000","+140.0%","+221.9%","98.1M","5.03M","2.80M","none","none","none","8.39","0.22","0.09","none","2.66","2.32","89.45","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","18.85","19.15","1.59","5.11","86710.00","-3.51"
"aabc","5.969","7.75","9.40","0.32","3,136","1,000","+21.6%","+63.0%","9.83M","1.27M","600.0K","none","none","none","10.01","0.45","0.13","9.14","5.06","0.78","17.15","0.85","11.8M","none","587.0K","5.0%","41.6%","Dec 31","none","0.36%","4.85%","none","none","6.42M","0","none","0","none","6,000","7.75","7.60","-1.94","5.11","0.00","-7.04"
"aac","0.95","1.20","4.50","0.38","35.5K","45.0K","-70.0%","-59.8%","25.2M","21.0M","8.80M","none","none","none","0.15","-0.45","-0.02","0.56","0.05","8.19","none","2.14","11.7M","-4.77M","-9.49M","-80.8%","-50.4%","Dec 31","none","-101.64%","-140.61%","1.21","0.34","1.03M","0","none","0","none","2,000","1.20","1.00","-16.67","5.11","0.00","-21.77"
"aacb","8.51","9.00","15.688","0.65","116.7K","12.0K","-37.1%","-15.7%","310.1M","34.5M","30.3M","none","none","none","12.19","0.73","0.11","16.48","0.02","0.74","12.26","0.55","547.2M","87.9M","23.9M","4.4%","12.9%","Mar 31","none","2.08%","6.30%","none","1.09","755.0K","146.0K","0.5%","132.0K","1.50","97.0K","8.941","9.55","6.81","5.11","607093.90","1.71"
"aace","7.25","9.35","14.00","0.63","17.5K","13.0K","-27.7%","-3.1%","94.1M","10.1M","4.50M","none","none","none","5.56","0.11","0.20","20.52","13.08","1.68","82.02","0.46","208.4M","26.5M","1.21M","0.6%","1.0%","June 30","none","0.44%","2.19%","1.00","0.25","131.6M","3,000","0.1%","12.0K","0.09","35.0K","9.44","9.09","-3.71","5.11","944.00","-8.81"
"aai","2.60","3.78","12.25","1.11","667.4K","359.0K","-20.4%","+6.7%","257.6M","68.1M","53.8M","none","none","none","0.80","0.35","-0.15","9.71","1.68","4.75","10.86","0.39","699.6M","107.2M","25.1M","3.6%","11.0%","Dec 31","none","none","none","none","none","none","none","none","none","none","none","3.90","6.24","60.00","5.11","1395420.00","54.89"
"aaii","6.50","19.99","23.22","1.02","25.3K","23.0K","+138.7%","+220.1%","358.4M","17.9M","4.30M","none","none","none","3.80","-0.00","0.06","6.26","0.11","5.26","none","3.19","111.3M","9.77M","-36.0K","0%","2.3%","Dec 31","none","-0.03%","-0.05%","1.44","0.23","1.99M","81.0K","1.9%","60.0K","5.40","15.0K","20.50","20.25","-1.22","5.11","1840900.00","-6.33"
"aala","0.25","0.60","2.00","-1.55","1,500","1,000","-20.0%","+7.3%","7.27M","12.1M","5.10M","none","none","none","0.13","-0.23","-0.06","none","0.01","4.59","none","none","0","-1.54M","-2.42M","none","none","June 30","none","-19.08%","-97.57%","0.04","6.18","143.0K","0","none","0","none","0","","0.70","0.00","5.11","0.00","-5.11"
