Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,Avg Trade Volume,Delta Return
A,26.96,32.27,39.54,2.78,"2,704,420","2,731,590",-1.55%,-10.40%,13.19B,408.68M,403.12M,N/A,N/A,N/A,9.271,6.86,6.86,12.408,5.503,3.55,4.7,2.39,5.63B,1.77B,1.33B,56.57%,10.72%,31-Oct,31-Jul-06,13.20%,34.26%,2.513,0.396,2.25B,3.84M,0.90%,4.98M,1.5,"3,967,200",32.32,35.6,10.15,3.5,92767400,6.65
A.TO,none,2.9,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"3,492,666",2.86,2.78,-2.8,3.5,6750303.38,-6.3
AA,22.28,27.75,36.96,2.2,"6,067,300","6,529,210",15.24%,6.39%,24.06B,866.89M,865.24M,0.6,2.20%,12-Jun-00,16.524,2.13,2.13,32.673,0.523,1.67,13.05,0.84,28.45B,4.66B,1.83B,6.56%,11.45%,31-Dec,30-Jun-06,6.14%,13.22%,1.202,0.519,453.00M,15.43M,1.80%,15.18M,2.8,"5,876,200",27.62,28.91,4.67,3.5,243872069.5,1.17
AAA,51.84,56.29,63.9,0.18,"9,927.69","18,200",1.65%,-7.20%,7.65B,135.98M,65.53M,1.05,1.80%,N/A,19.82,4.26,4.26,34.3,5.338,2.85,13.21,1.65,4.66B,1.08B,578.37M,12.41%,19.21%,31-Dec,30-Jun-06,13.33%,23.16%,1.638,0.166,725.86M,15.69K,N/A,30.68K,2.4,"7,900",55.75,55.75,0,3.5,669000,-3.5
AAACW.OB,none,1.82,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"5,680",1.9,1.55,-18.42,3.5,10462.5,-21.92
AAAE.OB,0.6,1.01,1.01,0,33.3333,0,N/A,none,33.40M,33.07M,15.07M,N/A,N/A,N/A,0,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,-15.81K,N/A,N/A,31-Jul,30-Apr-06,N/A,N/A,0.206,N/A,929,N/A,N/A,N/A,N/A,0,,,0,3.5,0,-3.5
AAC,0.2,0.28,0.53,3.69,"508,394","481,614",-20.59%,-29.44%,17.47M,62.41M,58.65M,N/A,N/A,7-Sep-99,0.213,0.01,0.01,0.104,0.031,1.27,23.33,2.59,6.51M,-202.18K,739.02K,11.36%,-5.77%,31-Dec,30-Jun-06,-1.84%,5.84%,65.799,N/A,1.92M,22.21K,N/A,12.62K,0,"125,800",0.26,0.27,3.85,3.5,30666,0.34
AACB.PK,none,31.28,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,,none,none,none,none,N/A,N/A,0,0,none,none,none,none,none,none,none,none,none,"1,139",31.78,34.05,7.14,3.5,0,3.64
AACC,14.03,16,32.05,0.8,"199,815","179,643",-46.34%,-55.19%,595.52M,37.22M,14.85M,N/A,N/A,N/A,7.406,1.2,1.2,6.754,1.487,2.12,13.31,2.32,251.35M,N/A,44.81M,17.83%,28.07%,31-Dec,30-Jun-06,13.73%,17.76%,19.329,0,55.34M,1.18M,4.30%,1.05M,6,"188,531",16.25,17.81,9.6,3.5,2252623.95,6.1
AACQW.OB,none,0.41,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"52,000",0.44,0.57,29.55,3.5,82995.5,26.04
AACS.OB,0.01,0.014,0.04,-0.76,"699,548","527,589",N/A,none,3.30M,236.05M,153.41M,N/A,N/A,N/A,0.012,-0.004,-0.004,0.01,0,1.2,N/A,1.48,2.30M,-812.70K,-964.73K,-42.02%,-55.15%,28-Feb,31-May-06,-12.88%,-29.14%,0.278,0.544,83.66K,N/A,N/A,N/A,N/A,"101,729",,,0,3.5,0,-3.5
AAG.V,none,0.77,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"15,500",0.9,1.03,14.44,3.5,61405.98,10.94
AAH.TO,none,27.4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0.2,none,none,none,none,10.00%,21.60%,0,0,none,none,none,none,none,none,none,none,none,"19,240",28.64,30.45,6.32,3.5,990234.21,2.82
AAI,9.06,9.9,18.85,0.47,"1,625,570","1,948,700",-13.44%,-22.29%,899.64M,90.87M,90.09M,N/A,N/A,22-Nov-95,4.439,0.21,0.21,19.445,4.545,2.29,46.26,0.54,1.73B,67.82M,18.13M,1.05%,2.39%,31-Dec,30-Jun-06,2.08%,4.94%,1.185,1.591,413.05M,15.34M,17.10%,12.05M,8.3,"2,208,800",10,9.97,-0.3,3.5,21643398,-3.8
AAM.V,none,1.1,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"22,800",1.1,1.17,6.36,3.5,1170,2.86
