"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"A","28.67","35.93","55.33","1.60","5,995,190","5,086,290","7.56%","1.78%","12.48B","347.21M","344.79M","N/A","N/A","N/A","12.07","2.87","2.87","18.67","8.93","3.11","12.54","2.02","6.46B","1.29B","1.02B","15.71%","16.01%","Oct 31","Jul 31, 2011","7.25%","28.96%","3.47","51.62","3.10B","4.14M","N/A","5.26M","0.80","5,272,548","35.29","37.50","6.26","17.39","266123336.89","-11.13"
"AA","8.45","10.14","18.47","2.27","33,351,400","40,043,300","-17.86%","-23.64%","10.79B","1.06B","1.06B","0.12","1.20%","Jun 12, 2000","13.97","0.95","0.95","23.44","1.25","0.76","10.64","0.46","24.61B","3.61B","1.06B","4.31%","8.64%","Dec 31","Sep 30, 2011","3.41%","7.22%","1.36","50.93","1.34B","63.78M","6.00%","59.39M","2.30","31,760,616","10.40","10.02","-3.65","17.39","478301782.40","-21.05"
"AAC","9.59","9.80","9.78","N/A","3,317","171","N/A","none","83.62M","8.53M","N/A","N/A","N/A","Jan 15, 2009","0.68","N/A","N/A","N/A","Conglomerates","14.41","N/A","N/A","N/A","N/A","-255.83K","N/A","N/A","Jun 30","Jun 30, 2011","N/A","N/A","12.36","N/A","Conglomerates","2.00K","N/A","1.30K","0.20","600","9.80","9.82","0.20","17.39","0.00","-17.19"
"AACC","2.80","3.05","7.21","2.33","27,219","30,957","-45.05%","-50.83%","93.52M","30.66M","14.86M","N/A","N/A","N/A","4.24","0.06","0.06","6.54","0.24","0.76","50.00","0.49","201.02M","16.23M","2.00M","0.99%","5.88%","Dec 31","Jun 30, 2011","1.96%","1.56%","15.14","133.06","7.30M","280.46K","4.40%","281.10K","10.20","8,754","3.43","3.52","2.62","17.39","116424.49","-14.77"
"AADR","none","28.11","none","none","none","none","none","none","-0.21%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","AdvisorShares","8.17M","none","none","none","none","none","none","none","none","none","234","28.2143","27.23","-3.49","17.39","72792.89","-20.88"
"AAME","1.26","1.88","2.25","1.00","4,135","4,514","11.18%","5.40%","41.78M","22.23M","9.20M","N/A","N/A","N/A","3.78","0.10","0.10","5.09","1.11","0.50","18.80","0.37","113.28M","6.24M","2.15M","2.35%","5.19%","Dec 31","Jun 30, 2011","1.35%","3.17%","1.47","48.98","24.65M","4.16K","0.10%","5.02K","1.40","6,996","1.80","1.99","10.56","17.39","2984.40","-6.84"
"AAN","16.16","26.35","24.32","1.03","605,969","451,057","10.44%","4.66%","2.07B","78.66M","70.69M","0.05","0.20%","Apr 16, 2010","12.68","1.37","1.37","24.24","2.24","2.24","19.23","1.14","1.95B","276.55M","112.15M","5.75%","11.65%","Dec 31","Jun 30, 2011","9.80%","11.51%","1.59","4.11","176.38M","3.86M","133.50%","3.74M","7.90","940,910","25.73","26.28","2.14","17.39","16049524.91","-15.26"
"AAON","14.64","19.14","24.23","0.86","81,859","64,043","20.07%","14.29%","472.01M","24.66M","18.63M","0.24","1.20%","Jun 14, 2011","4.87","0.74","0.74","10.49","0.19","4.10","25.97","1.89","259.70M","38.30M","18.44M","7.10%","10.70%","Dec 31","Jun 30, 2011","10.04%","16.02%","1.68","6.36","4.66M","2.00M","12.40%","2.04M","28.90","56,471","19.91","21.91","10.05","17.39","1353461.89","-7.35"
"AAP","49.50","63.54","72.32","0.37","1,188,500","814,229","2.37%","-3.41%","4.83B","75.98M","71.32M","0.24","0.40%","Sep 26, 2005","10.06","4.34","4.34","74.88","0.91","6.32","14.64","0.80","6.05B","776.86M","357.19M","5.92%","10.02%","Jan 1","Jul 16, 2011","10.93%","39.15%","1.12","74.49","68.82M","3.49M","5.40%","4.19M","3.70","439,265","64.82","69.22","6.79","17.39","52001391.26","-10.61"
"AAPL","297.76","397.77","426.70","0.87","23,145,100","25,090,400","31.39%","25.61%","369.64B","929.28M","923.56M","N/A","N/A","Feb 28, 2005","82.45","27.68","27.68","117.12","27.93","4.92","14.37","3.48","108.25B","35.60B","25.92B","23.95%","31.22%","Sep 24","Sep 24, 2011","22.05%","41.67%","1.61","N/A","25.95B","11.69M","N/A","14.33M","0.60","15,360,503","396.51","382.20","-3.61","17.39","7475862188.58","-21.00"
