Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,Avg Trade Volume,Delta Return,
A,28.67,33.83,55.33,1.61,"5,391,400","4,287,460",-7.57%,-5.25%,11.74B,347.00M,344.58M,N/A,N/A,N/A,12.42,2.85,2.85,19.06,10.16,2.71,11.87,1.76,6.62B,1.32B,1.01B,15.30%,16.19%,31-Oct,31-Oct-11,7.14%,26.80%,3.04,50.63,3.53B,4.35M,N/A,4.50M,0.8,"2,286,262",37.82,34.93,-7.64,-31.33,83393767.91,23.69,
AA,8.45,8.95,18.47,2.01,"34,188,700","31,350,800",-32.57%,-30.25%,9.53B,1.06B,1.06B,0.12,1.40%,12-Jun-00,13.97,0.95,0.95,23.44,1.25,0.64,9.39,0.38,24.61B,3.61B,1.06B,4.31%,8.64%,31-Dec,30-Sep-11,3.41%,7.22%,1.36,50.93,1.34B,58.16M,5.50%,61.46M,1.3,"13,048,768",9.81,8.65,-11.82,-31.33,185938498.3,19.51,
AA.V,0.11,0.14,0.35,N/A,"67,739","16,925",-22.22%,-19.90%,3.04M,21.69M,18.40M,N/A,N/A,31-Mar-09,0.26,N/A,N/A,N/A,0.03,0.53,N/A,N/A,N/A,-854.67K,-590.99K,N/A,N/A,31-Mar,30-Jun-11,-9.68%,-11.00%,3.12,N/A,552.54K,N/A,N/A,N/A,N/A,"21,650",0.14,0.13,-7.14,-31.33,8765,24.19,
AAA.TO,none,1.08,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"1,732,989",1.07,0.83,-22.43,-31.33,3123739.49,8.9,
AAB.TO,0.57,0.58,1.02,N/A,"118,266","276,625",1.59%,3.91%,50.76M,87.52M,68.18M,N/A,N/A,23-Feb-00,1.41,0.3,0.3,0.64,1.1,0.46,1.95,1.01,55.62M,42.86M,27.75M,49.88%,68.77%,31-Jan,31-Jul-11,19.13%,25.08%,24.75,N/A,96.14M,N/A,N/A,N/A,N/A,"44,250",0.6,0.65,8.33,-31.33,200463.15,39.67,
AACC,2.8,3.02,7.21,2.3,"28,885","50,363",-44.44%,-42.12%,92.67M,30.68M,14.86M,N/A,N/A,N/A,4.36,0.03,0.03,6.8,0.26,0.69,97.42,0.44,209.16M,22.29M,821.64K,0.39%,8.66%,31-Dec,30-Sep-11,2.93%,0.62%,16.98,130.79,7.81M,276.91K,4.40%,279.37K,9.2,"4,370",3.5,3.91,11.71,-31.33,128717.11,43.05,
AACOU,9.8,9.96,11.5,N/A,"1,049",0,-0.10%,2.22%,N/A,NaN,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500,10,0,-100,-31.33,0,-68.67,
AAG.V,0.21,0.4,1.03,N/A,"244,234","146,925",-60.78%,-58.46%,57.42M,145.38M,125.22M,N/A,N/A,21-Oct-99,0.37,N/A,N/A,0,0.16,1.09,N/A,N/A,-29.72K,-5.34M,-12.86M,N/A,57744.88%,31-Mar,30-Jun-11,-19.59%,-35.39%,7.51,N/A,22.55M,N/A,N/A,N/A,N/A,"557,990",0.33,0.24,-27.27,-31.33,54832.8,4.06,
AAGC.OB,0.13,0.14,0.94,N/A,"354,212","64,738",N/A,none,13.52M,96.59M,42.09M,N/A,N/A,N/A,0,-0.01,-0.01,N/A,0,142,N/A,N/A,N/A,N/A,-1.18M,N/A,N/A,31-May,31-Aug-11,-1088.51%,N/A,2.33,54.92,122.13K,N/A,N/A,N/A,N/A,"26,400",0.154,0.085,-44.81,-31.33,14114.68,-13.47,
AAH.TO,13.17,13.52,25.45,N/A,"14,708","7,625",-27.11%,-24.79%,190.28M,14.07M,12.10M,N/A,N/A,N/A,23.43,1.59,1.59,50.63,8.42,0.59,8.51,0.27,712.11M,54.03M,22.57M,3.17%,4.13%,31-Dec,30-Sep-11,3.27%,7.08%,2.08,0.27,118.46M,N/A,N/A,N/A,N/A,"2,834",14.82,13.86,-6.48,-31.33,64134.81,24.85,
AAM.V,0.4,1.14,1.34,N/A,"136,608","90,138",58.57%,60.89%,189.73M,166.43M,144.76M,N/A,N/A,N/A,0.54,N/A,N/A,0.24,0.14,2.06,N/A,4.62,39.95M,2.63M,-2.83M,-7.08%,-7.31%,31-Dec,30-Jun-11,-1.43%,-2.82%,2.01,22.69,23.30M,N/A,N/A,N/A,N/A,"192,250",1.11,1.15,3.6,-31.33,52922.5,34.94,
AAME,1.26,1.99,2.25,1.01,"4,128","8,450",0.51%,2.83%,44.23M,22.23M,5.57M,N/A,N/A,N/A,3.78,0.2,0.2,7.07,1.11,0.53,9.85,0.38,116.93M,7.73M,3.33M,3.28%,6.29%,31-Dec,30-Sep-11,N/A,N/A,N/A,48.98,24.65M,4.11K,0.10%,4.15K,0.9,100,1.99,1.97,-1.01,-31.33,12083.1,30.33,
AAN,16.16,24.07,24.32,1.08,"605,969","451,057",10.44%,12.76%,1.82B,75.52M,67.55M,0.06,0.20%,16-Apr-10,12.45,1.41,1.41,24.95,2.9,1.93,17.07,0.92,1.98B,272.36M,114.02M,5.75%,11.23%,31-Dec,30-Sep-11,9.06%,11.96%,1.54,16.39,218.94M,4.63M,6.40%,5.24M,8.8,"175,494",26,26.68,2.62,-31.33,7358031.66,33.95,
AAN.V,none,0.07,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"244,000",0.045,0.065,44.44,-31.33,13802.5,75.78,
AAO.V,none,0.06,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"1,000",0.055,0.04,-27.27,-31.33,574.5,4.06,
AAON,14.64,19,24.23,1.13,"70,302","56,075",10.60%,12.92%,468.18M,24.64M,18.61M,0.24,1.30%,14-Jun-11,5.08,0.77,0.77,10.87,0.12,3.75,24.77,1.75,268.64M,39.99M,18.90M,7.03%,10.89%,31-Dec,30-Sep-11,10.64%,15.75%,1.85,11.15,2.85M,1.90M,11.80%,1.99M,25.7,"50,248",21.01,20.49,-2.48,-31.33,1218001.15,28.86,
